In cryptography, a sponge function or sponge construction is any of a class of algorithms with finite internal state that take an input bit stream of any length and produce an output bit stream of any desired length. Sponge functions have both theoretical and practical uses. They can be used to model or implement many cryptographic primitives, including cryptographic hashes, message authentication codes, mask generation functions, stream ciphers, pseudo-random number generators, and authenticated encryption.
10110010 00011100 00011011 10000101 11100101 00101110 10110010 00000011 11110100 01011110 00011011 00001011 10010000 11000010 00101101 10011101 11111111 10011000 01001111 01100101 11011101 11111010 10000000 10101010 10100010 11111001 10101110 00000110 10111000 00110110 01000001 11011001 00000111 11111101 11000010 00001100 01100011 10011111 10101110 00100010 00100010 10000010 10111110 11011101 01010001 01000011 01101100 10011000 01101110 01100010 00111001 00011100 01101010 00001111 00000101 10011110 01011111 01100001 10100011 10000111 00100111 00110001 10011110 01010111 00000010 01111000 10011110 10010010 10110010 00011100 00011011 10000101 11100101 00101110 10110010 00000011 11110100 01011110 00011011 00001011 11011110 01011000 00110000 01100011 11111111 10011000 01001111 01100101 11011101 11111010 10000000 10101010 10100010 11111001 10101110 00000110 00001111 10010101 00011010 00001000 00000111 11111101 11000010 00001100 01100011 10011111 10101110 00100010 00100010 10000010 10111110 11011101 01010110 10100001 01011001 00100010 01101110 01100010 00111001 00011100 01101010 00001111 00000101 10011110 01011111 01100001 10100011 10000111 01101010 01111111 11100000 00000011 00000010 01111000 10011110 10010010 00110001 00010101 10011011 01000100 10101010 11111111 01011000 00100100 00011001 11101111 11011110 10111000 10001001 00101100 01101100 00111000 11111101 10011001 10001011 00010101 11111001 00001000 00000111 11010110 00111110 01001110 11101011 00100000 00001101 10101100 10100101 01010101 10010010 11011010 11101100 01110001 11110000 00011010 11110010 10000011 00001100 01011101 00110001 01111110 11011100 00010100 10011101 00010100 11001010 11011001 11000100 10100111 01011101 00101111 10111101 10110100 00110000 11001010 01001010 01000010 01101101 00000010 00111000 10011111

444,6
120,6
452,1
60,6
452,4
172,4
88,7
248,5
124,7
252,7
432,7
240,5
444,5
32,7
376,7
284,7
420,7
500,6
240,6
240,4
512,4
260,7
484,4
484,6
308,7
404,5
324,7
124,7
404,6
248,7
500,6
260,7
180,3
252,7
0,5
184,6
496,7
452,2
180,1
260,7
88,7
348,6
212,4
52,6
44,7
452,3
240,4
284,6
0,7
212,4
284,6
384,6
384,5
296,7
240,6
452,6
308,5
172,6
180,7
308,6
184,7
324,5
0,2
180,6
212,4
512,4
276,7
248,7
32,7
484,5
404,7
60,7
120,6
276,7
312,7
444,7
284,6
212,5
356,6
308,5
44,6
384,7
284,7
384,4
44,6
512,3
272,7
452,5
12,6
52,7
44,6
308,7
308,3
116,6
496,7
384,7
52,7
308,4
324,7
300,7
0,6
412,7
180,4
444,7
512,7
308,6
332,5
268,7
296,7
312,7
500,6
44,7
4,6
500,6
276,7
484,6
4,4
60,6
404,6
444,3
12,6
172,6
0,3
500,7
452,7
316,7
4,5
0,6
20,7
4,4
484,4
444,6
212,5
212,6
172,4
512,5
180,6
180,2
56,7
140,7
72,7
356,7
224,7
104,7
180,6
276,7
324,6
212,7
388,6
272,7
180,2
20,7
240,3
172,6
272,7
180,5
300,6
44,7
240,5
240,3
0,3
212,5
124,7
500,6
344,7
120,7
460,7
0,7
300,7
384,6
444,7
212,5
180,6
404,5
172,6
324,5
240,7
452,0
432,7
56,7
104,7
420,7
188,7
512,5
40,7
248,5
404,5
452,5
484,6
148,7
256,7
308,6
96,7
240,4
180,4
88,7
4,4
284,6
496,7
240,4
180,2
104,7
40,7
120,7
44,7
452,4
376,7
308,4
512,7
60,6
384,7
124,7
160,7
388,6
404,7
20,7
452,3
0,6
12,6
284,7
224,7
452,5
332,6
40,7
240,6
180,3
404,7
224,7
308,4
180,4
44,6
0,2
276,7
356,7
388,6
284,6
